cluster_202002,income_msoa,pct_manag_prof,median_age,pct_minority
2,41900.0,32.33,53.45,1.15
1,70000.0,47.804,44.7,9.896
3,36107.692,22.486,46.954,2.333
3,29345.455,20.358,41.968,2.153
2,56718.75,41.513,42.732,4.316
2,75400.0,51.539,46.306,28.424
3,43100.0,34.417,49.738,1.681
3,49369.231,37.091,45.65,3.353
3,31600.0,19.45,34.73,5.223
0,38181.818,33.054,48.806,2.541
3,46080.952,41.808,45.423,3.325
3,40057.143,22.736,38.423,23.05
0,39430.769,25.715,42.369,4.063
2,40900.0,19.308,35.277,45.383
0,36000.0,22.747,43.237,3.914
0,38357.143,27.882,39.074,12.653
2,38000.0,28.832,44.714,2.179
3,62169.565,44.688,43.532,9.139
2,52253.333,39.411,39.007,47.746
0,60871.429,51.324,31.416,54.177
3,36750.0,21.901,36.064,13.404
3,37600.0,30.205,42.002,6.356
0,41660.0,24.797,37.211,21.859
2,50000.0,35.37,40.753,29.602
3,46930.435,38.475,44.824,3.495
2,36671.429,28.789,51.844,2.252
3,44028.571,31.64,24.721,12.618
2,34200.0,31.635,50.24,5.352
3,56880.0,50.008,34.607,19.853
2,45600.0,44.72,50.528,3.26
3,47300.0,35.741,43.785,7.577
2,48064.0,42.656,43.109,24.342
3,38505.263,23.823,39.932,3.049
2,36427.273,23.76,39.599,8.175
2,47444.444,37.492,47.298,1.629
1,44612.0,25.743,35.501,35.671
0,52275.0,41.94,38.242,43.044
3,40700.0,32.37,52.28,1.832
2,55464.286,40.127,41.858,19.008
3,45900.0,22.202,35.064,45.647
3,30971.429,20.904,32.522,19.523
3,26800.0,21.731,43.169,2.081
3,45778.947,38.363,50.807,1.495
2,54704.0,34.033,38.554,80.566
0,59766.667,53.654,44.295,18.143
3,50825.926,42.712,38.102,3.631
3,40900.0,33.312,48.052,3.551
3,53900.0,43.382,45.817,4.505
2,69547.368,47.173,37.485,32.06
1,50909.091,46.724,49.725,2.762
2,50200.0,,,
2,39000.0,25.965,36.123,5.335
4,43000.0,26.257,39.031,49.9
3,35937.5,23.788,48.7,3.077
0,51550.0,42.205,47.326,9.356
3,57616.667,45.626,47.746,6.495
1,71400.0,64.338,43.423,17.989
1,40600.0,34.979,38.584,3.636
2,62753.846,59.583,40.164,31.271
1,63042.857,61.782,29.785,30.391
2,54846.154,52.626,42.196,22.711
0,25900.0,14.112,36.179,1.851
3,53341.667,39.659,45.674,7.74
3,49642.105,31.736,42.626,27.675
3,77770.0,63.829,40.582,14.121
3,44100.0,33.882,51.157,2.952
0,34100.0,23.956,47.86,4.147
2,50500.0,42.515,44.587,7.094
2,67100.0,48.911,47.128,59.072
2,45407.143,33.977,35.241,33.949
3,34300.0,20.398,39.597,11.697
2,47529.412,40.24,41.168,7.605
2,53200.0,40.889,47.84,4.856
0,25060.0,23.19,39.941,2.908
3,36900.0,31.858,49.981,1.505
0,44866.667,30.493,34.67,23.529
0,38130.0,24.373,38.721,12.949
2,52066.667,43.689,50.841,2.965
2,31000.0,,,
3,36900.0,23.452,38.205,7.815
2,44489.474,36.657,44.51,4.778
2,34955.556,22.083,42.268,3.192
1,56770.0,44.24,39.48,9.832
3,37700.0,19.594,34.963,46.369
3,37180.0,17.876,34.537,31.946
0,58976.19,46.886,40.933,41.689
2,52212.5,40.43,41.833,6.011
3,44760.0,35.027,39.937,4.923
1,50563.636,44.279,55.677,2.217
2,56300.0,51.312,38.894,29.222
3,32400.0,17.699,38.07,9.81
3,57500.0,50.314,46.048,5.015
2,42250.0,29.056,39.697,10.046
0,39500.0,33.053,41.522,5.48
3,35930.0,27.82,48.299,6.088
3,55750.0,46.049,48.793,3.589
0,36500.0,25.251,41.794,3.882
3,37509.091,26.459,44.107,2.725
0,38950.0,33.304,55.686,2.237
3,30800.0,18.486,36.765,27.342
3,32600.0,18.899,34.544,43.252
0,68700.0,50.986,43.071,5.931
0,38200.0,26.085,40.426,10.294
3,51293.75,42.844,38.874,12.265
3,31900.0,23.679,41.994,3.605
2,44275.0,33.697,41.804,5.262
3,34925.0,24.553,39.163,7.429
2,31400.0,15.558,34.995,30.608
2,38841.667,27.753,52.43,2.275
0,52453.333,,,
2,36700.0,26.564,42.844,7.244
2,43600.0,30.184,37.325,59.376
0,59152.941,45.055,43.986,24.412
1,53710.0,48.177,37.078,35.962
3,33400.0,17.667,35.298,11.079
1,47100.0,39.034,50.404,2.137
0,57850.0,50.277,48.521,6.079
0,42569.565,35.066,47.983,10.894
2,35300.0,22.234,42.69,1.923
3,41300.0,33.307,34.628,22.61
3,56095.238,43.68,40.737,7.488
1,56922.222,43.202,38.04,33.287
3,65818.75,53.558,48.372,6.729
0,55800.0,45.342,47.839,3.075
0,44400.0,33.498,47.611,4.267
0,37500.0,25.923,46.957,2.363
0,48688.235,33.409,44.172,6.364
